company,site,address
A.P. Moller - Maersk A/S,A.P. Møller  Maersk A/S (Asia Pacific),Singapore
A.P. Moller - Maersk A/S,A.P. Møller  Maersk A/S (Middle East and Africa),"Dubai, United Arab Emirates"
A.P. Moller - Maersk A/S,APM Terminals,Offices in over 130 countries
A.P. Moller - Maersk A/S,Maersk Container Industry,Offices in over 70 countries
A.P. Moller - Maersk A/S,Maersk Drilling,Offices in over 10 countries
A.P. Moller - Maersk A/S,Maersk Oil,Offices in over 10 countries
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Shenzhen) Co., Ltd.","AAC Industrial Park, No. 15, Xitou Road, Songgang Town, Baoan District, Shenzhen City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Dongguan) Co., Ltd.","No. 10, Xinan Road, Changping Town, Dongguan City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Kunshan) Co., Ltd.","No. 79, Jinfeng Road, Kunshan City, Jiangsu Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Zhuhai) Co., Ltd.","No. 101, Jinxin Road, Jinwan District, Zhuhai City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Hefei) Co., Ltd.","No. 100, Hefei Economic Development Zone, Hefei City, Anhui Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Chongqing) Co., Ltd.","No. 100, AAC Industrial Park, Liangjiang New Area, Chongqing City, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Wuxi) Co., Ltd.","No. 100, AAC Industrial Park, Xinwu District, Wuxi City, Jiangsu Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Huizhou) Co., Ltd.","No. 100, AAC Industrial Park, Huizhou City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Vietnam) Co., Ltd.","No. 100, AAC Industrial Park, Bac Ninh Province, Vietnam"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Indonesia) Co., Ltd.","No. 100, AAC Industrial Park, Karawang Regency, West Java, Indonesia"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Mexico) Co., Ltd.","No. 100, AAC Industrial Park, Ciudad Juárez, Chihuahua, Mexico"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Brazil) Co., Ltd.","No. 100, AAC Industrial Park, Manaus, Amazonas, Brazil"
AAC TECHNOLOGIES HOLDINGS INC.,AAC Technologies Holdings Inc.,"Room 1801, 18/F, Tower 1, Metroplaza, 213 Lai Chi Kok Road, Kwai Chung, New Territories, Hong Kong"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Shenzhen) Co., Ltd.","AAC Industrial Park, No. 15, Xitou Road, Songgang Town, Baoan District, Shenzhen City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Dongguan) Co., Ltd.","No. 10, Xinan Road, Changping Town, Dongguan City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Kunshan) Co., Ltd.","No. 79, Jinfeng Road, Kunshan City, Jiangsu Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Zhuhai) Co., Ltd.","No. 101, Jinxin Road, Jinwan District, Zhuhai City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Hefei) Co., Ltd.","No. 100, Hefei Economic Development Zone, Hefei City, Anhui Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Chongqing) Co., Ltd.","No. 100, AAC Industrial Park, Liangjiang New Area, Chongqing City, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Wuxi) Co., Ltd.","No. 100, AAC Industrial Park, Xinwu District, Wuxi City, Jiangsu Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Huizhou) Co., Ltd.","No. 100, AAC Industrial Park, Huizhou City, Guangdong Province, China"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Vietnam) Co., Ltd.","No. 100, AAC Industrial Park, Bac Ninh Province, Vietnam"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Indonesia) Co., Ltd.","No. 100, AAC Industrial Park, Karawang Regency, West Java, Indonesia"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Mexico) Co., Ltd.","No. 100, AAC Industrial Park, Ciudad Juárez, Chihuahua, Mexico"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Brazil) Co., Ltd.","No. 100, AAC Industrial Park, Manaus, Amazonas, Brazil"
AAC TECHNOLOGIES HOLDINGS INC.,"AAC Technologies (Shenzhen) Co., Ltd.","AAC Industrial Park, No. 15, Xitou Road"
ABB Ltd,ABB Global Headquarters,Affolternstrasse 44
ABB Ltd,ABB Belgium,"Keizerslaan 50, 1000 Brussels"
ABB Ltd,ABB Canada,"3000 rue Saint-Charles, Lachine, Quebec H8T 1B6"
ABB Ltd,ABB Chile,ARBUE. Chile 249. C1098AAE Buenos Aires Capital Federal.
ABB Ltd,ABB China,"No. 22 Tianyu Road, Zhangjiang Hi-tech Park, Pudong New Area, Shanghai 201203"
ABB Ltd,ABB Colombia,"Autopista Norte Calle 203  45-66, Bogotá"
ABB Ltd,ABB Czech Republic,"Tuhovska 29, 831 06 Bratislava"
ABB Ltd,ABB Denmark,"Hjortekær 9, 2630 Taastrup"
ABB Ltd,ABB Egypt,"33 El Hegaz Street, Sixth of October City, Egypt"
ABB Ltd,ABB Finland,"Ratastie 2, 00380 Helsinki"
ABB Ltd,ABB France,"1, rue des Hérons, 95500 Cergy-Pontoise"
ABB Ltd,ABB Germany,"Wallstadter Straße 59, 68526 Ladenburg"
ABB Ltd,ABB Greece,13th km Nat. Rd. Athens Lamia 14452 Metamorfossi Attiki
ABB Ltd,ABB Guatemala,"Km 30.5 Carretera a Palin Bodega 21 A, Urbanizacion del Sur 1063 Amatitlan Guatemala"
ABB Ltd,ABB Hungary,"Lehel utca 33-35, 1134 Budapest"
ABB Ltd,ABB India,"ABB House, 13th Floor, 182 CST Road, Kalina, Santacruz (East), Mumbai 400098"
ABB Ltd,ABB Indonesia,"Wisma Bakrie 1, 21st Floor, Jalan Jenderal Sudirman, Kav. 54-55, Jakarta 12190"
ABB Ltd,ABB Ireland,5th Floor Beacon Concourse Block D Beacon Court Sandyford Dublin 18 Dublin County Dublin
ABB Ltd,ABB Israel,"9 HaMelacha Street, 51117 Bnei Brak"
ABB Ltd,ABB Italy,"Via Valtellina 66, 20122 Milano"
ABB Ltd,ABB Japan,"Gotenyama Garden, 1-19-12, Kita-Shinagawa, Shinagawa-ku, Tokyo 141-0001"
ABB Ltd,ABB Korea,"19th Floor, Tower B, One IFC 10 Gukjegeumyung-ro, Yeongdeungpo-gu, Seoul"
ABB Ltd,ABB Malaysia,"Lot 20, SS3, Jalan PJS 11/12, Bandar Sunway, 47500 Petaling Jaya, Selangor"
ABB Ltd,ABB Mexico,"Blvd. Adolfo López Mateos No. 2425, Col. El Retiro, 53240 Naucalpan de Juárez, Estado de México"
ABB Ltd,ABB Morocco,Km 3 Boulevard du Centenaire de la commune de Dakar Route des Brasseries Dakar Dakar
ABB Ltd,ABB Netherlands,"Kabelweg 21, 1014 AA Amsterdam"
ABB Ltd,ABB Norway,Postboks 240 N-1301 Sandvika
ABB Ltd,ABB Oman,"Musandam Building, Al-Khuwair, Muscat, Oman"
ABB Ltd,ABB Pakistan,"63-C, Block 5, Clifton, Karachi"
ABB Ltd,ABB Peru,Avenida Argentina 3120 15081 Lima Lima
ABB Ltd,ABB Philippines,"Unit 1, Building B, 2nd Avenue, Bonifacio Technology Center, Taguig City, 1634 Metro Manila"
ABB Ltd,ABB Poland,"ul. Przemysłowa 26, 05-800 Pruszków"
ABB Ltd,ABB Portugal,"Av. Infante D. Henrique, Lote 2.18.01, 1990-409 Lisboa"
ABB Ltd,ABB Puerto Rico,Cabo Caribe Ind Pk 32&34.
ABB Ltd,ABB Qatar,"Al Asmakh Tower, Bldg  49. Onaiza District, West bay. Doha, Qatar Doha Qatar"
ABB Ltd,ABB Romania,"Bd. Biruinței,"
ABBVIE INC.,AbbVie Pharmaceutical Contract Manufacturing,"1401 Sheridan Rd, North Chicago, IL 60064, USA"
ABBVIE INC.,"AbbVie, Inc.","1400 Sheridan Rd, North Chicago, IL 60064, USA"
ABBVIE INC.,AbbVie,"1 N Waukegan Rd, North Chicago, IL 60044, USA"
ABBVIE INC.,AbbVie,"26525 Riverwoods Blvd, Mettawa, IL 60045, USA"
ABBVIE INC.,AbbVie,"200 Sidney St, Cambridge, MA 02139, USA"
ABBVIE INC.,AbbVie,"10 Rue dArcueil, 94150 Rungis, France"
ABBVIE INC.,AbbVie,"Abbvie House, Vanwall Business Park, Vanwall Rd, Maidenhead SL6 4UB, UK"
ABBVIE INC.,Abbvie,"Av. Einstein 14, 1300 Wavre, Belgium"
ABBVIE INC.,AbbVie,"Clonshaugh Business & Technology Park, Dublin, D17 E400, Ireland"
ABBVIE INC.,AbbVie Germany,"Knollstraße 50, 67061 Ludwigshafen am Rhein, Germany"
ABBVIE INC.,AbbVie,"23 Tuas South Avenue 6, Singapore 637022"
ABBVIE INC.,AbbVie Pte Ltd,"9 N Buona Vista Dr, 19-01 The Metropolis Tower One, Singapore 138588"
ABBVIE INC.,AbbVie GK,"16F, 3-chōme-1-14F Shibaura, Minato City, Tokyo 108-0023, Japan"
ABBVIE INC.,AbbVie Limited,"183 Electric Rd, Causeway Bay, Hong Kong"
ABBVIE INC.,AbbVie Türkiye,"Barbaros, 34746 Ataşehir/İstanbul, Türkiye"
ABBVIE INC.,AbbVie,"Building 7, Waterfall Corporate Campus, 74 Waterfall Dr, Midrand, 1685, South Africa"
ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,"Gustav Mahlerplein 100, 1082 MA Amsterdam, Netherlands"
ABN AMRO Bank N.V.,ABN AMRO Bank (Belgium) N.V.,"Havenlaan 20, 1080 Brussel, Belgium"
ABN AMRO Bank N.V.,ABN AMRO Bank (Deutschland) GmbH,"Bockenheimer Landstraße 1, 60325 Frankfurt am Main, Germany"
ABN AMRO Bank N.V.,ABN AMRO Banque France,"123 Avenue Charles de Gaulle, 92200 Neuilly-sur-Seine, France"
ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,"250 Bishopsgate, London EC2M 4AA, United Kingdom"
ABN AMRO Bank N.V.,ABN AMRO Bank N.V.,"600 Fifth Avenue, New York, NY 10020, United States"
ABN AMRO Bank N.V.,ABN AMRO Bank N.V. (Singapore Branch),"1 Raffles Place, 17-00 Tower 1, One Raffles Place, Singapore 048616"
